,time_diff,close,volume,match_hr,match_min,match_sec,match_ms,time_in_ms
179,0,1792200,309,8,45,0,84,31500084
180,16,1792200,1,8,45,0,100,31500100
181,0,1792200,57,8,45,0,100,31500100
182,4,1792200,10,8,45,0,104,31500104
183,2,1792200,1,8,45,0,106,31500106
184,1,1792200,1,8,45,0,107,31500107
185,111,1792200,6,8,45,0,218,31500218
186,37,1792200,2,8,45,0,255,31500255
187,2,1792200,2,8,45,0,257,31500257
188,3,1792200,2,8,45,0,260,31500260
189,36,1792200,1,8,45,0,296,31500296
190,6,1792200,1,8,45,0,302,31500302
191,20,1792200,1,8,45,0,322,31500322
192,3,1792200,1,8,45,0,325,31500325
193,3,1792200,1,8,45,0,328,31500328
194,10,1792200,1,8,45,0,338,31500338
195,17,1792200,1,8,45,0,355,31500355
196,2,1792200,2,8,45,0,357,31500357
197,6,1792300,2,8,45,0,363,31500363
198,13,1792300,6,8,45,0,376,31500376
199,1,1792200,1,8,45,0,377,31500377
200,6,1792300,1,8,45,0,383,31500383
201,0,1792300,1,8,45,0,383,31500383
202,0,1792300,1,8,45,0,383,31500383
203,0,1792300,1,8,45,0,383,31500383
204,1,1792300,3,8,45,0,384,31500384
205,1,1792300,2,8,45,0,385,31500385
207,0,1792400,1,8,45,0,385,31500385
208,0,1792400,1,8,45,0,385,31500385
209,5,1792300,1,8,45,0,390,31500390
211,20,1792200,2,8,45,0,410,31500410
212,4,1792200,1,8,45,0,414,31500414
213,8,1792200,4,8,45,0,422,31500422
214,2,1792200,2,8,45,0,424,31500424
215,8,1792200,2,8,45,0,432,31500432
216,7,1792500,2,8,45,0,439,31500439
217,15,1792200,2,8,45,0,454,31500454
218,0,1792200,2,8,45,0,454,31500454
219,3,1792500,1,8,45,0,457,31500457
220,36,1792200,2,8,45,0,493,31500493
221,0,1792500,1,8,45,0,493,31500493
222,3,1792200,1,8,45,0,496,31500496
223,1,1792200,2,8,45,0,497,31500497
224,7,1792200,1,8,45,0,504,31500504
225,5,1792500,1,8,45,0,509,31500509
226,5,1792300,1,8,45,0,514,31500514
227,3,1792300,2,8,45,0,517,31500517
228,4,1792300,1,8,45,0,521,31500521
229,5,1792200,2,8,45,0,526,31500526
230,0,1792200,8,8,45,0,526,31500526
231,15,1792300,1,8,45,0,541,31500541
233,0,1792500,1,8,45,0,541,31500541
234,0,1792500,1,8,45,0,541,31500541
235,1,1792500,1,8,45,0,542,31500542
236,25,1792500,1,8,45,0,567,31500567
237,0,1792500,1,8,45,0,567,31500567
238,21,1792500,2,8,45,0,588,31500588
239,2,1792300,2,8,45,0,590,31500590
240,5,1792300,1,8,45,0,595,31500595
242,8,1792200,3,8,45,0,603,31500603
243,17,1792500,1,8,45,0,620,31500620
244,2,1792500,1,8,45,0,622,31500622
246,22,1792300,1,8,45,0,644,31500644
247,1,1792300,1,8,45,0,645,31500645
248,0,1792200,1,8,45,0,645,31500645
249,4,1792200,8,8,45,0,649,31500649
250,0,1792200,8,8,45,0,649,31500649
251,3,1792200,2,8,45,0,652,31500652
252,6,1792300,1,8,45,0,658,31500658
253,17,1792200,1,8,45,0,675,31500675
254,2,1792200,1,8,45,0,677,31500677
255,0,1792200,1,8,45,0,677,31500677
256,39,1792200,1,8,45,0,716,31500716
257,1,1792300,1,8,45,0,717,31500717
258,0,1792200,1,8,45,0,717,31500717
259,4,1792300,1,8,45,0,721,31500721
260,0,1792200,1,8,45,0,721,31500721
261,6,1792200,1,8,45,0,727,31500727
262,8,1792400,2,8,45,0,735,31500735
263,23,1792200,3,8,45,0,758,31500758
264,0,1792200,1,8,45,0,758,31500758
265,0,1792200,2,8,45,0,758,31500758
266,3,1792400,1,8,45,0,761,31500761
267,3,1792200,1,8,45,0,764,31500764
268,6,1792200,2,8,45,0,770,31500770
269,4,1792200,4,8,45,0,774,31500774
270,1,1792200,1,8,45,0,775,31500775
271,0,1792200,1,8,45,0,775,31500775
272,0,1792200,1,8,45,0,775,31500775
273,0,1792200,1,8,45,0,775,31500775
274,2,1792400,1,8,45,0,777,31500777
275,9,1792200,2,8,45,0,786,31500786
276,4,1792200,3,8,45,0,790,31500790
277,3,1792200,2,8,45,0,793,31500793
278,1,1792200,2,8,45,0,794,31500794
279,3,1792200,4,8,45,0,797,31500797
280,11,1792200,1,8,45,0,808,31500808
281,5,1792200,1,8,45,0,813,31500813
282,0,1792200,1,8,45,0,813,31500813
283,18,1792200,2,8,45,0,831,31500831
284,7,1792200,1,8,45,0,838,31500838
285,18,1792200,1,8,45,0,856,31500856
286,0,1792200,1,8,45,0,856,31500856
287,18,1792200,2,8,45,0,874,31500874
288,10,1792200,1,8,45,0,884,31500884
289,9,1792200,3,8,45,0,893,31500893
291,8,1792000,1,8,45,0,901,31500901
292,0,1792000,1,8,45,0,901,31500901
293,0,1792000,1,8,45,0,901,31500901
294,1,1792000,1,8,45,0,902,31500902
295,1,1792000,1,8,45,0,903,31500903
296,1,1792000,1,8,45,0,904,31500904
297,7,1792300,5,8,45,0,911,31500911
298,4,1792000,4,8,45,0,915,31500915
299,0,1792300,2,8,45,0,915,31500915
301,1,1792500,1,8,45,0,916,31500916
302,7,1792500,1,8,45,0,923,31500923
303,7,1792500,4,8,45,0,930,31500930
304,46,1792200,1,8,45,0,976,31500976
306,26,1792000,2,8,45,1,2,31501002
307,9,1792000,2,8,45,1,11,31501011
308,6,1792000,1,8,45,1,17,31501017
310,7,1792000,1,8,45,1,24,31501024
311,2,1792100,1,8,45,1,26,31501026
312,0,1792100,1,8,45,1,26,31501026
313,0,1792100,1,8,45,1,26,31501026
315,21,1792000,3,8,45,1,47,31501047
316,2,1792200,1,8,45,1,49,31501049
317,11,1792100,1,8,45,1,60,31501060
318,75,1792100,1,8,45,1,135,31501135
319,15,1792100,4,8,45,1,150,31501150
321,4,1792300,6,8,45,1,154,31501154
322,1,1792300,1,8,45,1,155,31501155
323,0,1792300,1,8,45,1,155,31501155
324,0,1792300,1,8,45,1,155,31501155
325,8,1792300,1,8,45,1,163,31501163
326,0,1792300,1,8,45,1,163,31501163
328,110,1792100,1,8,45,1,273,31501273
329,13,1792300,1,8,45,1,286,31501286
330,57,1792000,1,8,45,1,343,31501343
331,1,1792000,1,8,45,1,344,31501344
332,0,1791900,1,8,45,1,344,31501344
333,1,1791900,1,8,45,1,345,31501345
334,2,1791900,1,8,45,1,347,31501347
335,21,1791900,1,8,45,1,368,31501368
336,6,1791800,1,8,45,1,374,31501374
337,20,1791800,1,8,45,1,394,31501394
338,35,1791900,1,8,45,1,429,31501429
339,61,1792000,1,8,45,1,490,31501490
